8000/0	Benign Neoplasm
8000/1	Neoplasm, Uncertain Whether Benign
8000/3	Malignant Neoplasm
8002/3	Malignant Tumor, Small Cell Type
8004/3	Malignant Spindle Cell Neoplasm
8010/3	Carcinoma
8012/3	Large Cell Carcinoma
8013/3	Large Cell Neuroendorine Carcinoma
8015/3	Glassy Cell Carcinoma
8020/3	Undifferentiated Carcinoma
8021/3	Undifferentiated Carcinoma
8022/3	Pleomorphic Carcinoma
8031/3	Giant Cell Carcinoma
8032/3	Spindle Cell Carcinoma
8033/3	Pseudosarcomatous carcinoma
8035/3	Carcinoma with osteoclast-like giant cells
8041/3	Small cell carcinoma, NOS
8042/3	Oat cell carcinoma
8045/3	Combined small cell carcinoma
8046/3	Non-small cell carcinoma
8050/3	Papillary carcinoma, NOS
8051/3	Verrucous carcinoma, NOS
8052/3	Papillary squamous cell carcinoma
8070/3	Squamous cell carcinoma, NOS
8071/3	Squamous cell carcinoma, keratinizing, NOS
8072/3	Non-Keratinizing Large Cell Squamous Cell Carcinoma
8073/3	Squamous cell carcinoma, small cell, nonkeratinizing
8074/3	Squamous Cell Carcinoma, Spindle Cell
8082/3	Lymphoepithelial Carcinoma
8083/3	Basaloid Squamous Cell Carcinoma
8090/3	Basal Cell Carcinoma, NOS
8120/3	Transitional cell carcinoma, NOS
8121/3	Schneiderian Carcinoma
8123/3	Basaloid Carcinoma
8130/3	Papillary urothelial carcinoma
8140/1	Atypical Adenoma
8140/2	Adenocarcinoma in situ, NOS
8140/3	Adenocarcinoma, NOS
8140/6	Adenocarcinoma, metastatic, NOS
8144/3	Adenocarcinoma, intestinal type
8145/3	Carcinoma, diffuse type
8160/3	Cholangiocarcinoma
8163/3	Pancreatobiliary-type carcinoma
8170/3	Hepatocellular Carcinoma, NOS
8171/3	Hepatocellular carcinoma, fibrolamellar
8173/3	Hepatocellular carcinoma, spindle cell variant
8174/3	Hepatocellular carcinoma, clear cell type
8180/3	Combined Hepatocellular Carcinoma and Cholangiocarcinoma
8200/3	Adenoid Cystic Carcinoma
8201/3	Cribriform carcinoma, NOS
8211/3	Tubular Adenocarcinoma
8213/0	Serrated adenoma, NOS
8215/3	Adenocarcinoma of anal glands
8230/3	Solid carcinoma, NOS
8240/3	Neuroendocrine tumor, NOS
8243/3	Goblet cell carcinoma
8246/3	Neuroendocrine carcinoma, NOS
8247/3	Merkel cell carcinoma
8249/3	Neuroendocrine tumor, grade 2
8250/3	Lepidic adenocarcinoma
8252/3	Non-Mucinous Bronchioloalveolar Lung Carcinoma
8253/3	Adenocarcinoma of lung, mucinous
8255/3	Lung Adenocarcinoma, Mixed Subtype
8260/3	Papillary Adenocarcinoma, NOS
8262/3	Villous adenocarcinoma
8263/0	Tubulovillous adenoma, NOS
8263/3	Adenocarcinoma in Tubulovillous Adenoma
8265/3	Micropapillary carcinoma, NOS
8272/0	Pituitary adenoma, NOS
8272/3	Pituitary carcinoma, NOS
8290/0	Oxyphilic adenoma
8290/3	Oxyphilic adenocarcinoma
8310/3	Clear cell adenocarcinoma, NOS
8312/3	Renal cell carcinoma, NOS
8317/3	Renal cell carcinoma, chromophobe type
8318/3	Renal cell carcinoma, sarcomatoid
8319/3	Collecting duct carcinoma
8330/3	Follicular carcinoma, NOS
8331/3	Follicular adenocarcinoma, well differentiated
8335/3	Follicular carcinoma, minimally invasive
8337/3	Poorly Differentiated Thyroid Carcinoma
8340/3	Papillary carcinoma, follicular variant
8344/3	Papillary carcinoma, columnar cell
8350/3	Nonencapsulated Sclerosing Carcinoma
8370/0	Adrenal cortical adenoma, NOS
8370/3	Adrenal cortical carcinoma
8380/1	Endometrioid adenoma, borderline malignancy
8380/3	Endometrioid adenocarcinoma, NOS
8382/3	Endometrioid adenocarcinoma, secretory variant
8384/3	Adenocarcinoma, endocervical type, NOS
8390/3	Adnexal adenocarcinoma, NOS
8400/3	Sweat gland adenocarcinoma
8401/3	Apocrine adenocarcinoma
8403/0	Spiradenoma, NOS
8409/3	Porocarcinoma, NOS
8410/3	Sebaceous carcinoma
8430/3	Mucoepidermoid carcinoma
8440/3	Cystadenocarcinoma, NOS
8441/0	Serous cystadenoma, NOS
8441/3	Serous carcinoma, NOS
8442/1	Serous borderline tumor, NOS
8452/1	Solid pseudopapillary tumor of ovary
8453/3	Intraductal papillary mucinous neoplasm with an associated invasive carcinoma
8460/3	Low grade serous carcinoma
8461/3	High grade serous carcinoma
8470/0	Mucinous cystadenoma, NOS
8472/1	Mucinous cystic tumor of borderline malignancy
8474/3	Seromucinous carcinoma
8480/3	Mucinous adenocarcinoma
8482/3	Mucinous carcinoma, gastric type
8490/3	Signet ring cell carcinoma
8500/2	Intraductal carcinoma, noninfiltrating, NOS
8500/3	Infiltrating duct carcinoma, NOS
8501/2	Comedocarcinoma, noninfiltrating
8502/3	Secretory carcinoma
8503/3	Intraductal papillary adenocarcinoma with invasion
8507/3	Invasive micropapillary carcinoma of breast
8510/3	Medullary carcinoma, NOS
8520/2	Lobular carcinoma in situ, NOS
8520/3	Lobular carcinoma, NOS
8521/3	Infiltrating ductular carcinoma
8522/3	Infiltrating duct and lobular carcinoma
8523/3	Infiltrating duct mixed and other types of carcinoma
8524/3	Infiltrating lobular mixed with other types of carcinoma
8530/3	Inflammatory carcinoma
8540/3	Paget disease, mammary
8541/3	Paget disease and infiltrating duct carcinoma of breast
8542/3	Paget disease, extramammary
8550/1	Acinar cell tumor
8550/3	Acinar cell carcinoma
8560/3	Adenosquamous carcinoma
8562/3	Epithelial-myoepithelial carcinoma
8574/3	Adenocarcinoma with neuroendocrine differentiation
8575/3	Metaplastic carcinoma, NOS
8576/3	Hepatoid adenocarcinoma
8580/1	Micronodular thymoma with lymphoid stroma
8581/3	Thymoma, type A
8582/3	Thymoma, type AB
8583/3	Thymoma, type B1
8584/3	Thymoma, type B2
8585/3	Thymoma, type B3
